Cases,Deaths,Date
11,0,2020-03-26
27,1,2020-04-02
45,5,2020-04-09
51,3,2020-04-16
117,3,2020-04-23
149,2,2020-04-30
200,12,2020-05-07
109,15,2020-05-14
97,5,2020-05-21
64,9,2020-05-28
42,4,2020-06-04
31,4,2020-06-11
34,1,2020-06-18
65,3,2020-06-25
51,1,2020-07-02
79,2,2020-07-09
105,2,2020-07-16
114,2,2020-07-23
98,4,2020-07-30
112,5,2020-08-06
99,0,2020-08-13
84,3,2020-08-20
106,1,2020-08-27
105,1,2020-09-03
195,3,2020-09-10
283,0,2020-09-17
290,2,2020-09-24
337,3,2020-10-01
383,0,2020-10-08
449,3,2020-10-15
537,3,2020-10-22
543,8,2020-10-29
775,11,2020-11-05
1074,14,2020-11-12
1115,15,2020-11-19
834,11,2020-11-26
1218,11,2020-12-03
704,18,2020-12-10
636,26,2020-12-17
404,12,2020-12-24
460,12,2020-12-31
727,33,2021-01-07
483,4,2021-01-14
345,15,2021-01-21
378,15,2021-01-28
212,6,2021-02-04
149,3,2021-02-11
153,2,2021-02-18
221,2,2021-02-25
266,2,2021-03-04
390,1,2021-03-11
387,2,2021-03-18
718,2,2021-03-25
763,1,2021-04-01
1151,3,2021-04-08
1139,10,2021-04-15
961,5,2021-04-22
770,9,2021-04-29
634,10,2021-05-06
403,16,2021-05-13
301,9,2021-05-20
166,4,2021-05-27
72,3,2021-06-03
65,2,2021-06-10
39,2,2021-06-17
39,0,2021-06-24
28,1,2021-07-01
18,0,2021-07-08
39,1,2021-07-15
53,0,2021-07-22
104,0,2021-07-29
185,2,2021-08-05
342,1,2021-08-12
391,1,2021-08-19
476,4,2021-08-26
408,7,2021-09-02
389,5,2021-09-09
571,6,2021-09-16
563,3,2021-09-23
456,2,2021-09-30
650,5,2021-10-07
691,2,2021-10-14
554,5,2021-10-21
641,8,2021-10-28
811,11,2021-11-04
639,6,2021-11-11
1469,7,2021-11-18
1378,7,2021-11-25
1115,6,2021-12-02
1290,12,2021-12-09
1096,15,2021-12-16
1109,18,2021-12-23
1580,12,2021-12-30
2926,7,2022-01-06
3734,14,2022-01-13
3830,15,2022-01-20
3212,17,2022-01-27
1838,12,2022-02-03
918,10,2022-02-10
561,8,2022-02-17
334,12,2022-02-24
814,9,2022-03-03
164,6,2022-03-10
149,3,2022-03-17
121,5,2022-03-24
144,2,2022-03-31
143,2,2022-04-07
184,2,2022-04-14
242,1,2022-04-21
323,0,2022-04-28
382,0,2022-05-05
563,2,2022-05-12
672,1,2022-05-19
636,2,2022-05-26
539,1,2022-06-02
475,1,2022-06-09
458,3,2022-06-16
360,0,2022-06-23
501,7,2022-06-30
424,0,2022-07-07
589,4,2022-07-14
529,4,2022-07-21
601,1,2022-07-28
614,3,2022-08-04
437,6,2022-08-11
609,1,2022-08-18
490,1,2022-08-25
509,1,2022-09-01
419,0,2022-09-08
508,4,2022-09-15
500,4,2022-09-22
390,3,2022-09-29
267,6,2022-10-12
232,5,2022-10-19
237,6,2022-10-26
217,2,2022-11-02
170,3,2022-11-09
147,4,2022-11-16
160,6,2022-11-23